Destino	Concepto turístico	Tipo de dato	Periodo	Total
09 Cataluña	Duración media de los viajes	Distribución porcentual	2022	""
09 Cataluña	Duración media de los viajes	Distribución porcentual	2021	""
09 Cataluña	Duración media de los viajes	Distribución porcentual	2020	""
09 Cataluña	Duración media de los viajes	Distribución porcentual	2019	""
09 Cataluña	Duración media de los viajes	Distribución porcentual	2018	""
09 Cataluña	Duración media de los viajes	Distribución porcentual	2017	""
09 Cataluña	Duración media de los viajes	Distribución porcentual	2016	""
09 Cataluña	Duración media de los viajes	Distribución porcentual	2015	""
09 Cataluña	Duración media de los viajes	Variación anual	2023	-2,25
09 Cataluña	Duración media de los viajes	Variación anual	2022	-5,03
09 Cataluña	Duración media de los viajes	Variación anual	2021	-9,08
09 Cataluña	Duración media de los viajes	Variación anual	2020	26,37
09 Cataluña	Duración media de los viajes	Variación anual	2019	-2,74
09 Cataluña	Duración media de los viajes	Variación anual	2018	0,47
09 Cataluña	Duración media de los viajes	Variación anual	2017	-5,34
09 Cataluña	Duración media de los viajes	Variación anual	2016	1,01
09 Cataluña	Duración media de los viajes	Variación anual	2015	""
09 Cataluña	Pernoctaciones	Valor absoluto	2023	79.083.694
09 Cataluña	Pernoctaciones	Valor absoluto	2022	82.260.260
09 Cataluña	Pernoctaciones	Valor absoluto	2021	73.826.860
09 Cataluña	Pernoctaciones	Valor absoluto	2020	53.043.768
09 Cataluña	Pernoctaciones	Valor absoluto	2019	78.814.167
09 Cataluña	Pernoctaciones	Valor absoluto	2018	80.738.457
09 Cataluña	Pernoctaciones	Valor absoluto	2017	80.552.059
09 Cataluña	Pernoctaciones	Valor absoluto	2016	75.528.285
09 Cataluña	Pernoctaciones	Valor absoluto	2015	72.264.634
09 Cataluña	Pernoctaciones	Distribución porcentual	2023	9,9
09 Cataluña	Pernoctaciones	Distribución porcentual	2022	11
09 Cataluña	Pernoctaciones	Distribución porcentual	2021	11,8
09 Cataluña	Pernoctaciones	Distribución porcentual	2020	10,8
09 Cataluña	Pernoctaciones	Distribución porcentual	2019	9,9
09 Cataluña	Pernoctaciones	Distribución porcentual	2018	10,1
09 Cataluña	Pernoctaciones	Distribución porcentual	2017	10
09 Cataluña	Pernoctaciones	Distribución porcentual	2016	9,7
09 Cataluña	Pernoctaciones	Distribución porcentual	2015	9,6
09 Cataluña	Pernoctaciones	Variación anual	2023	-3,86
09 Cataluña	Pernoctaciones	Variación anual	2022	11,42
09 Cataluña	Pernoctaciones	Variación anual	2021	39,18
09 Cataluña	Pernoctaciones	Variación anual	2020	-32,7
09 Cataluña	Pernoctaciones	Variación anual	2019	-2,38
09 Cataluña	Pernoctaciones	Variación anual	2018	0,23
09 Cataluña	Pernoctaciones	Variación anual	2017	6,65
09 Cataluña	Pernoctaciones	Variación anual	2016	4,52
09 Cataluña	Pernoctaciones	Variación anual	2015	""
09 Cataluña	Gasto total	Valor absoluto	2023	5.219.077,78
09 Cataluña	Gasto total	Valor absoluto	2022	5.063.479,45
09 Cataluña	Gasto total	Valor absoluto	2021	3.659.035,57
09 Cataluña	Gasto total	Valor absoluto	2020	2.273.996,62
09 Cataluña	Gasto total	Valor absoluto	2019	4.262.166,07
09 Cataluña	Gasto total	Valor absoluto	2018	4.015.318,53
09 Cataluña	Gasto total	Valor absoluto	2017	4.000.021,42
09 Cataluña	Gasto total	Valor absoluto	2016	3.708.876,1
09 Cataluña	Gasto total	Valor absoluto	2015	3.367.751,63
09 Cataluña	Gasto total	Distribución porcentual	2023	8,9
09 Cataluña	Gasto total	Distribución porcentual	2022	10,1
09 Cataluña	Gasto total	Distribución porcentual	2021	11,3
09 Cataluña	Gasto total	Distribución porcentual	2020	10,8
09 Cataluña	Gasto total	Distribución porcentual	2019	8,9
09 Cataluña	Gasto total	Distribución porcentual	2018	8,6
09 Cataluña	Gasto total	Distribución porcentual	2017	9
09 Cataluña	Gasto total	Distribución porcentual	2016	9
09 Cataluña	Gasto total	Distribución porcentual	2015	8,9
09 Cataluña	Gasto total	Variación anual	2023	3,07
09 Cataluña	Gasto total	Variación anual	2022	38,38
09 Cataluña	Gasto total	Variación anual	2021	60,91
09 Cataluña	Gasto total	Variación anual	2020	-46,65
09 Cataluña	Gasto total	Variación anual	2019	6,15
09 Cataluña	Gasto total	Variación anual	2018	0,38
09 Cataluña	Gasto total	Variación anual	2017	7,85
09 Cataluña	Gasto total	Variación anual	2016	10,13
09 Cataluña	Gasto total	Variación anual	2015	""
09 Cataluña	Gasto medio por persona	Valor absoluto	2023	219,63
09 Cataluña	Gasto medio por persona	Valor absoluto	2022	209,57
09 Cataluña	Gasto medio por persona	Valor absoluto	2021	177,68
09 Cataluña	Gasto medio por persona	Valor absoluto	2020	169,03
09 Cataluña	Gasto medio por persona	Valor absoluto	2019	168,73
09 Cataluña	Gasto medio por persona	Valor absoluto	2018	159,55
09 Cataluña	Gasto medio por persona	Valor absoluto	2017	158,56
09 Cataluña	Gasto medio por persona	Valor absoluto	2016	165,64
09 Cataluña	Gasto medio por persona	Valor absoluto	2015	155,63
09 Cataluña	Gasto medio por persona	Distribución porcentual	2023	""
09 Cataluña	Gasto medio por persona	Distribución porcentual	2022	""
09 Cataluña	Gasto medio por persona	Distribución porcentual	2021	""
09 Cataluña	Gasto medio por persona	Distribución porcentual	2020	""
09 Cataluña	Gasto medio por persona	Distribución porcentual	2019	""
09 Cataluña	Gasto medio por persona	Distribución porcentual	2018	""
09 Cataluña	Gasto medio por persona	Distribución porcentual	2017	""
09 Cataluña	Gasto medio por persona	Distribución porcentual	2016	""
09 Cataluña	Gasto medio por persona	Distribución porcentual	2015	""
09 Cataluña	Gasto medio por persona	Variación anual	2023	4,8
09 Cataluña	Gasto medio por persona	Variación anual	2022	17,95
09 Cataluña	Gasto medio por persona	Variación anual	2021	5,11
09 Cataluña	Gasto medio por persona	Variación anual	2020	0,18
09 Cataluña	Gasto medio por persona	Variación anual	2019	5,76
09 Cataluña	Gasto medio por persona	Variación anual	2018	0,62
09 Cataluña	Gasto medio por persona	Variación anual	2017	-4,28
09 Cataluña	Gasto medio por persona	Variación anual	2016	6,44
09 Cataluña	Gasto medio por persona	Variación anual	2015	""
09 Cataluña	Gasto medio diario por persona	Valor absoluto	2023	65,99
09 Cataluña	Gasto medio diario por persona	Valor absoluto	2022	61,55
09 Cataluña	Gasto medio diario por persona	Valor absoluto	2021	49,56
09 Cataluña	Gasto medio diario por persona	Valor absoluto	2020	42,87
09 Cataluña	Gasto medio diario por persona	Valor absoluto	2019	54,08
09 Cataluña	Gasto medio diario por persona	Valor absoluto	2018	49,73
09 Cataluña	Gasto medio diario por persona	Valor absoluto	2017	49,66
09 Cataluña	Gasto medio diario por persona	Valor absoluto	2016	49,11
09 Cataluña	Gasto medio diario por persona	Valor absoluto	2015	46,6
09 Cataluña	Gasto medio diario por persona	Distribución porcentual	2023	""
09 Cataluña	Gasto medio diario por persona	Distribución porcentual	2022	""
09 Cataluña	Gasto medio diario por persona	Distribución porcentual	2021	""
09 Cataluña	Gasto medio diario por persona	Distribución porcentual	2020	""
09 Cataluña	Gasto medio diario por persona	Distribución porcentual	2019	""
09 Cataluña	Gasto medio diario por persona	Distribución porcentual	2018	""
09 Cataluña	Gasto medio diario por persona	Distribución porcentual	2017	""
09 Cataluña	Gasto medio diario por persona	Distribución porcentual	2016	""
09 Cataluña	Gasto medio diario por persona	Distribución porcentual	2015	""
09 Cataluña	Gasto medio diario por persona	Variación anual	2023	7,21
09 Cataluña	Gasto medio diario por persona	Variación anual	2022	24,2
09 Cataluña	Gasto medio diario por persona	Variación anual	2021	15,61
09 Cataluña	Gasto medio diario por persona	Variación anual	2020	-20,73
09 Cataluña	Gasto medio diario por persona	Variación anual	2019	8,74
09 Cataluña	Gasto medio diario por persona	Variación anual	2018	0,15
09 Cataluña	Gasto medio diario por persona	Variación anual	2017	1,12
09 Cataluña	Gasto medio diario por persona	Variación anual	2016	5,37
09 Cataluña	Gasto medio diario por persona	Variación anual	2015	""
10 Comunitat Valenciana	Viajes	Valor absoluto	2023	18.477.734
10 Comunitat Valenciana	Viajes	Valor absoluto	2022	17.932.009
10 Comunitat Valenciana	Viajes	Valor absoluto	2021	16.702.033
10 Comunitat Valenciana	Viajes	Valor absoluto	2020	11.606.202
10 Comunitat Valenciana	Viajes	Valor absoluto	2019	19.779.616
10 Comunitat Valenciana	Viajes	Valor absoluto	2018	19.456.621
10 Comunitat Valenciana	Viajes	Valor absoluto	2017	18.540.291
10 Comunitat Valenciana	Viajes	Valor absoluto	2016	17.184.707
10 Comunitat Valenciana	Viajes	Valor absoluto	2015	16.264.138
10 Comunitat Valenciana	Viajes	Distribución porcentual	2023	9,9
10 Comunitat Valenciana	Viajes	Distribución porcentual	2022	10,5
10 Comunitat Valenciana	Viajes	Distribución porcentual	2021	11,7
10 Comunitat Valenciana	Viajes	Distribución porcentual	2020	11,4
10 Comunitat Valenciana	Viajes	Distribución porcentual	2019	10,2
10 Comunitat Valenciana	Viajes	Distribución porcentual	2018	9,9
10 Comunitat Valenciana	Viajes	Distribución porcentual	2017	9,6
10 Comunitat Valenciana	Viajes	Distribución porcentual	2016	9,4
10 Comunitat Valenciana	Viajes	Distribución porcentual	2015	9,3
10 Comunitat Valenciana	Viajes	Variación anual	2023	3,04
10 Comunitat Valenciana	Viajes	Variación anual	2022	7,36
10 Comunitat Valenciana	Viajes	Variación anual	2021	43,91
10 Comunitat Valenciana	Viajes	Variación anual	2020	-41,32
10 Comunitat Valenciana	Viajes	Variación anual	2019	1,66
10 Comunitat Valenciana	Viajes	Variación anual	2018	4,94
10 Comunitat Valenciana	Viajes	Variación anual	2017	7,89
10 Comunitat Valenciana	Viajes	Variación anual	2016	5,66
10 Comunitat Valenciana	Viajes	Variación anual	2015	""
10 Comunitat Valenciana	Duración media de los viajes	Valor absoluto	2023	4,52
10 Comunitat Valenciana	Duración media de los viajes	Valor absoluto	2022	4,69
10 Comunitat Valenciana	Duración media de los viajes	Valor absoluto	2021	4,91
10 Comunitat Valenciana	Duración media de los viajes	Valor absoluto	2020	5,24
10 Comunitat Valenciana	Duración media de los viajes	Valor absoluto	2019	4,52
10 Comunitat Valenciana	Duración media de los viajes	Valor absoluto	2018	4,42
10 Comunitat Valenciana	Duración media de los viajes	Valor absoluto	2017	4,68
10 Comunitat Valenciana	Duración media de los viajes	Valor absoluto	2016	4,9
10 Comunitat Valenciana	Duración media de los viajes	Valor absoluto	2015	5,15
10 Comunitat Valenciana	Duración media de los viajes	Distribución porcentual	2023	""
10 Comunitat Valenciana	Duración media de los viajes	Distribución porcentual	2022	""
10 Comunitat Valenciana	Duración media de los viajes	Distribución porcentual	2021	""
10 Comunitat Valenciana	Duración media de los viajes	Distribución porcentual	2020	""
10 Comunitat Valenciana	Duración media de los viajes	Distribución porcentual	2019	""
10 Comunitat Valenciana	Duración media de los viajes	Distribución porcentual	2018	""
10 Comunitat Valenciana	Duración media de los viajes	Distribución porcentual	2017	""
10 Comunitat Valenciana	Duración media de los viajes	Distribución porcentual	2016	""
10 Comunitat Valenciana	Duración media de los viajes	Distribución porcentual	2015	""
10 Comunitat Valenciana	Duración media de los viajes	Variación anual	2023	-3,58
10 Comunitat Valenciana	Duración media de los viajes	Variación anual	2022	-4,49
10 Comunitat Valenciana	Duración media de los viajes	Variación anual	2021	-6,3
10 Comunitat Valenciana	Duración media de los viajes	Variación anual	2020	15,73
10 Comunitat Valenciana	Duración media de los viajes	Variación anual	2019	2,48
10 Comunitat Valenciana	Duración media de los viajes	Variación anual	2018	-5,69
10 Comunitat Valenciana	Duración media de los viajes	Variación anual	2017	-4,42
10 Comunitat Valenciana	Duración media de los viajes	Variación anual	2016	-4,96
10 Comunitat Valenciana	Duración media de los viajes	Variación anual	2015	""
10 Comunitat Valenciana	Pernoctaciones	Valor absoluto	2023	83.486.786
10 Comunitat Valenciana	Pernoctaciones	Valor absoluto	2022	84.030.696
10 Comunitat Valenciana	Pernoctaciones	Valor absoluto	2021	81.946.838
10 Comunitat Valenciana	Pernoctaciones	Valor absoluto	2020	60.771.823
10 Comunitat Valenciana	Pernoctaciones	Valor absoluto	2019	89.493.557
10 Comunitat Valenciana	Pernoctaciones	Valor absoluto	2018	85.904.685
10 Comunitat Valenciana	Pernoctaciones	Valor absoluto	2017	86.799.372
10 Comunitat Valenciana	Pernoctaciones	Valor absoluto	2016	84.170.054
10 Comunitat Valenciana	Pernoctaciones	Valor absoluto	2015	83.814.900
10 Comunitat Valenciana	Pernoctaciones	Distribución porcentual	2023	10,4
10 Comunitat Valenciana	Pernoctaciones	Distribución porcentual	2022	11,3
10 Comunitat Valenciana	Pernoctaciones	Distribución porcentual	2021	13,1
10 Comunitat Valenciana	Pernoctaciones	Distribución porcentual	2020	12,3
10 Comunitat Valenciana	Pernoctaciones	Distribución porcentual	2019	11,3
10 Comunitat Valenciana	Pernoctaciones	Distribución porcentual	2018	10,8
10 Comunitat Valenciana	Pernoctaciones	Distribución porcentual	2017	10,8
10 Comunitat Valenciana	Pernoctaciones	Distribución porcentual	2016	10,8
10 Comunitat Valenciana	Pernoctaciones	Distribución porcentual	2015	11,2
10 Comunitat Valenciana	Pernoctaciones	Variación anual	2023	-0,65
10 Comunitat Valenciana	Pernoctaciones	Variación anual	2022	2,54
10 Comunitat Valenciana	Pernoctaciones	Variación anual	2021	34,84
10 Comunitat Valenciana	Pernoctaciones	Variación anual	2020	-32,09
10 Comunitat Valenciana	Pernoctaciones	Variación anual	2019	4,18
10 Comunitat Valenciana	Pernoctaciones	Variación anual	2018	-1,03
10 Comunitat Valenciana	Pernoctaciones	Variación anual	2017	3,12
10 Comunitat Valenciana	Pernoctaciones	Variación anual	2016	0,42
10 Comunitat Valenciana	Pernoctaciones	Variación anual	2015	""
10 Comunitat Valenciana	Gasto total	Valor absoluto	2023	4.515.613,75
10 Comunitat Valenciana	Gasto total	Valor absoluto	2022	4.193.264,76
10 Comunitat Valenciana	Gasto total	Valor absoluto	2021	3.478.110,5
10 Comunitat Valenciana	Gasto total	Valor absoluto	2020	2.027.445,09
10 Comunitat Valenciana	Gasto total	Valor absoluto	2019	3.788.559,51
10 Comunitat Valenciana	Gasto total	Valor absoluto	2018	3.617.507,95
10 Comunitat Valenciana	Gasto total	Valor absoluto	2017	3.372.374,98
10 Comunitat Valenciana	Gasto total	Valor absoluto	2016	3.307.661,76
10 Comunitat Valenciana	Gasto total	Valor absoluto	2015	3.105.277,14
10 Comunitat Valenciana	Gasto total	Distribución porcentual	2023	7,7
10 Comunitat Valenciana	Gasto total	Distribución porcentual	2022	8,3
10 Comunitat Valenciana	Gasto total	Distribución porcentual	2021	10,7
10 Comunitat Valenciana	Gasto total	Distribución porcentual	2020	9,6
10 Comunitat Valenciana	Gasto total	Distribución porcentual	2019	7,9
10 Comunitat Valenciana	Gasto total	Distribución porcentual	2018	7,7
10 Comunitat Valenciana	Gasto total	Distribución porcentual	2017	7,6
10 Comunitat Valenciana	Gasto total	Distribución porcentual	2016	8
10 Comunitat Valenciana	Gasto total	Distribución porcentual	2015	8,2
10 Comunitat Valenciana	Gasto total	Variación anual	2023	7,69
10 Comunitat Valenciana	Gasto total	Variación anual	2022	20,56
10 Comunitat Valenciana	Gasto total	Variación anual	2021	71,55
10 Comunitat Valenciana	Gasto total	Variación anual	2020	-46,49
10 Comunitat Valenciana	Gasto total	Variación anual	2019	4,73
10 Comunitat Valenciana	Gasto total	Variación anual	2018	7,27
10 Comunitat Valenciana	Gasto total	Variación anual	2017	1,96
10 Comunitat Valenciana	Gasto total	Variación anual	2016	6,52
10 Comunitat Valenciana	Gasto total	Variación anual	2015	""
10 Comunitat Valenciana	Gasto medio por persona	Valor absoluto	2023	244,38
10 Comunitat Valenciana	Gasto medio por persona	Valor absoluto	2022	233,84
10 Comunitat Valenciana	Gasto medio por persona	Valor absoluto	2021	208,24
10 Comunitat Valenciana	Gasto medio por persona	Valor absoluto	2020	174,69
10 Comunitat Valenciana	Gasto medio por persona	Valor absoluto	2019	191,54
10 Comunitat Valenciana	Gasto medio por persona	Valor absoluto	2018	185,93
10 Comunitat Valenciana	Gasto medio por persona	Valor absoluto	2017	181,89
10 Comunitat Valenciana	Gasto medio por persona	Valor absoluto	2016	192,48
10 Comunitat Valenciana	Gasto medio por persona	Valor absoluto	2015	190,93
10 Comunitat Valenciana	Gasto medio por persona	Distribución porcentual	2023	""
10 Comunitat Valenciana	Gasto medio por persona	Distribución porcentual	2022	""
10 Comunitat Valenciana	Gasto medio por persona	Distribución porcentual	2021	""
10 Comunitat Valenciana	Gasto medio por persona	Distribución porcentual	2020	""
10 Comunitat Valenciana	Gasto medio por persona	Distribución porcentual	2019	""
10 Comunitat Valenciana	Gasto medio por persona	Distribución porcentual	2018	""
10 Comunitat Valenciana	Gasto medio por persona	Distribución porcentual	2017	""
10 Comunitat Valenciana	Gasto medio por persona	Distribución porcentual	2016	""
10 Comunitat Valenciana	Gasto medio por persona	Distribución porcentual	2015	""
10 Comunitat Valenciana	Gasto medio por persona	Variación anual	2023	4,51
10 Comunitat Valenciana	Gasto medio por persona	Variación anual	2022	12,29
10 Comunitat Valenciana	Gasto medio por persona	Variación anual	2021	19,21
10 Comunitat Valenciana	Gasto medio por persona	Variación anual	2020	-8,8
10 Comunitat Valenciana	Gasto medio por persona	Variación anual	2019	3,02
10 Comunitat Valenciana	Gasto medio por persona	Variación anual	2018	2,22
10 Comunitat Valenciana	Gasto medio por persona	Variación anual	2017	-5,5
10 Comunitat Valenciana	Gasto medio por persona	Variación anual	2016	0,81
10 Comunitat Valenciana	Gasto medio por persona	Variación anual	2015	""
10 Comunitat Valenciana	Gasto medio diario por persona	Valor absoluto	2023	54,09
10 Comunitat Valenciana	Gasto medio diario por persona	Valor absoluto	2022	49,9
10 Comunitat Valenciana	Gasto medio diario por persona	Valor absoluto	2021	42,44
10 Comunitat Valenciana	Gasto medio diario por persona	Valor absoluto	2020	33,36
10 Comunitat Valenciana	Gasto medio diario por persona	Valor absoluto	2019	42,33
10 Comunitat Valenciana	Gasto medio diario por persona	Valor absoluto	2018	42,11
10 Comunitat Valenciana	Gasto medio diario por persona	Valor absoluto	2017	38,85
10 Comunitat Valenciana	Gasto medio diario por persona	Valor absoluto	2016	39,3
10 Comunitat Valenciana	Gasto medio diario por persona	Valor absoluto	2015	37,05
10 Comunitat Valenciana	Gasto medio diario por persona	Distribución porcentual	2023	""
10 Comunitat Valenciana	Gasto medio diario por persona	Distribución porcentual	2022	""
10 Comunitat Valenciana	Gasto medio diario por persona	Distribución porcentual	2021	""
10 Comunitat Valenciana	Gasto medio diario por persona	Distribución porcentual	2020	""
10 Comunitat Valenciana	Gasto medio diario por persona	Distribución porcentual	2019	""
10 Comunitat Valenciana	Gasto medio diario por persona	Distribución porcentual	2018	""
10 Comunitat Valenciana	Gasto medio diario por persona	Distribución porcentual	2017	""
10 Comunitat Valenciana	Gasto medio diario por persona	Distribución porcentual	2016	""
10 Comunitat Valenciana	Gasto medio diario por persona	Distribución porcentual	2015	""
10 Comunitat Valenciana	Gasto medio diario por persona	Variación anual	2023	8,39
10 Comunitat Valenciana	Gasto medio diario por persona	Variación anual	2022	17,57
10 Comunitat Valenciana	Gasto medio diario por persona	Variación anual	2021	27,22
10 Comunitat Valenciana	Gasto medio diario por persona	Variación anual	2020	-21,19
10 Comunitat Valenciana	Gasto medio diario por persona	Variación anual	2019	0,53
10 Comunitat Valenciana	Gasto medio diario por persona	Variación anual	2018	8,39
10 Comunitat Valenciana	Gasto medio diario por persona	Variación anual	2017	-1,13
10 Comunitat Valenciana	Gasto medio diario por persona	Variación anual	2016	6,07
10 Comunitat Valenciana	Gasto medio diario por persona	Variación anual	2015	""
11 Extremadura	Viajes	Valor absoluto	2023	4.682.105
11 Extremadura	Viajes	Valor absoluto	2022	4.121.668
11 Extremadura	Viajes	Valor absoluto	2021	3.464.262
11 Extremadura	Viajes	Valor absoluto	2020	2.527.528
11 Extremadura	Viajes	Valor absoluto	2019	4.469.918
11 Extremadura	Viajes	Valor absoluto	2018	4.985.865
11 Extremadura	Viajes	Valor absoluto	2017	5.169.183
11 Extremadura	Viajes	Valor absoluto	2016	4.758.527
11 Extremadura	Viajes	Valor absoluto	2015	4.803.518
11 Extremadura	Viajes	Distribución porcentual	2023	2,5
11 Extremadura	Viajes	Distribución porcentual	2022	2,4
11 Extremadura	Viajes	Distribución porcentual	2021	2,4
11 Extremadura	Viajes	Distribución porcentual	2020	2,5
11 Extremadura	Viajes	Distribución porcentual	2019	2,3
11 Extremadura	Viajes	Distribución porcentual	2018	2,5
11 Extremadura	Viajes	Distribución porcentual	2017	2,7
11 Extremadura	Viajes	Distribución porcentual	2016	2,6
11 Extremadura	Viajes	Distribución porcentual	2015	2,7
11 Extremadura	Viajes	Variación anual	2023	13,6
11 Extremadura	Viajes	Variación anual	2022	18,98
11 Extremadura	Viajes	Variación anual	2021	37,06
11 Extremadura	Viajes	Variación anual	2020	-43,45
11 Extremadura	Viajes	Variación anual	2019	-10,35
11 Extremadura	Viajes	Variación anual	2018	-3,55
11 Extremadura	Viajes	Variación anual	2017	8,63
11 Extremadura	Viajes	Variación anual	2016	-0,94
11 Extremadura	Viajes	Variación anual	2015	""
11 Extremadura	Duración media de los viajes	Valor absoluto	2023	4,47
11 Extremadura	Duración media de los viajes	Valor absoluto	2022	4,31
11 Extremadura	Duración media de los viajes	Valor absoluto	2021	4,11
11 Extremadura	Duración media de los viajes	Valor absoluto	2020	4,78
11 Extremadura	Duración media de los viajes	Valor absoluto	2019	3,91
11 Extremadura	Duración media de los viajes	Valor absoluto	2018	3,97
11 Extremadura	Duración media de los viajes	Valor absoluto	2017	4
11 Extremadura	Duración media de los viajes	Valor absoluto	2016	3,99
11 Extremadura	Duración media de los viajes	Valor absoluto	2015	4,18
11 Extremadura	Duración media de los viajes	Distribución porcentual	2023	""
11 Extremadura	Duración media de los viajes	Distribución porcentual	2022	""
11 Extremadura	Duración media de los viajes	Distribución porcentual	2021	""
11 Extremadura	Duración media de los viajes	Distribución porcentual	2020	""
11 Extremadura	Duración media de los viajes	Distribución porcentual	2019	""
11 Extremadura	Duración media de los viajes	Distribución porcentual	2018	""
11 Extremadura	Duración media de los viajes	Distribución porcentual	2017	""
11 Extremadura	Duración media de los viajes	Distribución porcentual	2016	""
11 Extremadura	Duración media de los viajes	Distribución porcentual	2015	""
11 Extremadura	Duración media de los viajes	Variación anual	2023	3,85
11 Extremadura	Duración media de los viajes	Variación anual	2022	4,7
11 Extremadura	Duración media de los viajes	Variación anual	2021	-13,94
11 Extremadura	Duración media de los viajes	Variación anual	2020	22,31
11 Extremadura	Duración media de los viajes	Variación anual	2019	-1,5
11 Extremadura	Duración media de los viajes	Variación anual	2018	-0,77
11 Extremadura	Duración media de los viajes	Variación anual	2017	0,12
11 Extremadura	Duración media de los viajes	Variación anual	2016	-4,39
11 Extremadura	Duración media de los viajes	Variación anual	2015	""
11 Extremadura	Pernoctaciones	Valor absoluto	2023	20.938.599
11 Extremadura	Pernoctaciones	Valor absoluto	2022	17.749.285
11 Extremadura	Pernoctaciones	Valor absoluto	2021	14.248.821
11 Extremadura	Pernoctaciones	Valor absoluto	2020	12.079.755
11 Extremadura	Pernoctaciones	Valor absoluto	2019	17.466.464
11 Extremadura	Pernoctaciones	Valor absoluto	2018	19.778.539
11 Extremadura	Pernoctaciones	Valor absoluto	2017	20.665.381
11 Extremadura	Pernoctaciones	Valor absoluto	2016	19.000.722
11 Extremadura	Pernoctaciones	Valor absoluto	2015	20.060.299
11 Extremadura	Pernoctaciones	Distribución porcentual	2023	2,6
11 Extremadura	Pernoctaciones	Distribución porcentual	2022	2,4
11 Extremadura	Pernoctaciones	Distribución porcentual	2021	2,3
11 Extremadura	Pernoctaciones	Distribución porcentual	2020	2,4
11 Extremadura	Pernoctaciones	Distribución porcentual	2019	2,2
11 Extremadura	Pernoctaciones	Distribución porcentual	2018	2,5
11 Extremadura	Pernoctaciones	Distribución porcentual	2017	2,6
11 Extremadura	Pernoctaciones	Distribución porcentual	2016	2,4
11 Extremadura	Pernoctaciones	Distribución porcentual	2015	2,7
11 Extremadura	Pernoctaciones	Variación anual	2023	17,97
11 Extremadura	Pernoctaciones	Variación anual	2022	24,57
11 Extremadura	Pernoctaciones	Variación anual	2021	17,96
11 Extremadura	Pernoctaciones	Variación anual	2020	-30,84
11 Extremadura	Pernoctaciones	Variación anual	2019	-11,69
11 Extremadura	Pernoctaciones	Variación anual	2018	-4,29
11 Extremadura	Pernoctaciones	Variación anual	2017	8,76
11 Extremadura	Pernoctaciones	Variación anual	2016	-5,28
11 Extremadura	Pernoctaciones	Variación anual	2015	""
11 Extremadura	Gasto total	Valor absoluto	2023	974.385,75
11 Extremadura	Gasto total	Valor absoluto	2022	837.867,26
11 Extremadura	Gasto total	Valor absoluto	2021	584.802,24
11 Extremadura	Gasto total	Valor absoluto	2020	422.783,38
11 Extremadura	Gasto total	Valor absoluto	2019	723.075,29
11 Extremadura	Gasto total	Valor absoluto	2018	724.711,45
11 Extremadura	Gasto total	Valor absoluto	2017	755.936,97
11 Extremadura	Gasto total	Valor absoluto	2016	633.908,03
11 Extremadura	Gasto total	Valor absoluto	2015	669.192,66
11 Extremadura	Gasto total	Distribución porcentual	2023	1,7
11 Extremadura	Gasto total	Distribución porcentual	2022	1,7
11 Extremadura	Gasto total	Distribución porcentual	2021	1,8
11 Extremadura	Gasto total	Distribución porcentual	2020	2
11 Extremadura	Gasto total	Distribución porcentual	2019	1,5
11 Extremadura	Gasto total	Distribución porcentual	2018	1,5
11 Extremadura	Gasto total	Distribución porcentual	2017	1,7
11 Extremadura	Gasto total	Distribución porcentual	2016	1,5
11 Extremadura	Gasto total	Distribución porcentual	2015	1,8
11 Extremadura	Gasto total	Variación anual	2023	16,29
11 Extremadura	Gasto total	Variación anual	2022	43,27
11 Extremadura	Gasto total	Variación anual	2021	38,32
11 Extremadura	Gasto total	Variación anual	2020	-41,53
11 Extremadura	Gasto total	Variación anual	2019	-0,23
11 Extremadura	Gasto total	Variación anual	2018	-4,13
11 Extremadura	Gasto total	Variación anual	2017	19,25
11 Extremadura	Gasto total	Variación anual	2016	-5,27
11 Extremadura	Gasto total	Variación anual	2015	""
11 Extremadura	Gasto medio por persona	Valor absoluto	2023	208,11
11 Extremadura	Gasto medio por persona	Valor absoluto	2022	203,28
11 Extremadura	Gasto medio por persona	Valor absoluto	2021	168,81
11 Extremadura	Gasto medio por persona	Valor absoluto	2020	167,27
11 Extremadura	Gasto medio por persona	Valor absoluto	2019	161,76
11 Extremadura	Gasto medio por persona	Valor absoluto	2018	145,35
11 Extremadura	Gasto medio por persona	Valor absoluto	2017	146,24
11 Extremadura	Gasto medio por persona	Valor absoluto	2016	133,22
11 Extremadura	Gasto medio por persona	Valor absoluto	2015	139,31
11 Extremadura	Gasto medio por persona	Distribución porcentual	2023	""
11 Extremadura	Gasto medio por persona	Distribución porcentual	2022	""
11 Extremadura	Gasto medio por persona	Distribución porcentual	2021	""
11 Extremadura	Gasto medio por persona	Distribución porcentual	2020	""
11 Extremadura	Gasto medio por persona	Distribución porcentual	2019	""
11 Extremadura	Gasto medio por persona	Distribución porcentual	2018	""
11 Extremadura	Gasto medio por persona	Distribución porcentual	2017	""
11 Extremadura	Gasto medio por persona	Distribución porcentual	2016	""
11 Extremadura	Gasto medio por persona	Distribución porcentual	2015	""
11 Extremadura	Gasto medio por persona	Variación anual	2023	2,37
11 Extremadura	Gasto medio por persona	Variación anual	2022	20,42
11 Extremadura	Gasto medio por persona	Variación anual	2021	0,92
11 Extremadura	Gasto medio por persona	Variación anual	2020	3,4
11 Extremadura	Gasto medio por persona	Variación anual	2019	11,29
11 Extremadura	Gasto medio por persona	Variación anual	2018	-0,61
