Edad	Duración	Destino	Tipo de dato	Periodo	Total
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	..
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	0,61
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	1,21
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	1,04
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	1,26
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	1,21
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	1,55
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2022	21,42
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2021	8,1
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2020	22,69
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2019	27,66
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2018	25,65
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2017	24,04
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2016	20,97
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2015	18,11
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2022	2,11
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2021	1,94
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2020	4,67
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2019	5,28
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2018	5,14
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2017	5,03
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2016	4,52
De 25 a 34 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2015	4,28
De 35 a 44 años	Total	Total	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	Total	Total	Porcentaje sobre personas de la categoría	2022	70,5
De 35 a 44 años	Total	Total	Porcentaje sobre personas de la categoría	2021	61,19
De 35 a 44 años	Total	Total	Porcentaje sobre personas de la categoría	2020	71,45
De 35 a 44 años	Total	Total	Porcentaje sobre personas de la categoría	2019	77,13
De 35 a 44 años	Total	Total	Porcentaje sobre personas de la categoría	2018	77,54
De 35 a 44 años	Total	Total	Porcentaje sobre personas de la categoría	2017	74,34
De 35 a 44 años	Total	Total	Porcentaje sobre personas de la categoría	2016	73,81
De 35 a 44 años	Total	Total	Porcentaje sobre personas de la categoría	2015	71,14
De 35 a 44 años	Total	Total	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	Total	Total	Porcentaje sobre el total de viajeros 	2022	37,46
De 35 a 44 años	Total	Total	Porcentaje sobre el total de viajeros 	2021	19,46
De 35 a 44 años	Total	Total	Porcentaje sobre el total de viajeros 	2020	19,95
De 35 a 44 años	Total	Total	Porcentaje sobre el total de viajeros 	2019	20,39
De 35 a 44 años	Total	Total	Porcentaje sobre el total de viajeros 	2018	21,79
De 35 a 44 años	Total	Total	Porcentaje sobre el total de viajeros 	2017	21,9
De 35 a 44 años	Total	Total	Porcentaje sobre el total de viajeros 	2016	22,11
De 35 a 44 años	Total	Total	Porcentaje sobre el total de viajeros 	2015	22,61
De 35 a 44 años	Total	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	Total	Solo España	Porcentaje sobre personas de la categoría	2022	50,13
De 35 a 44 años	Total	Solo España	Porcentaje sobre personas de la categoría	2021	51,65
De 35 a 44 años	Total	Solo España	Porcentaje sobre personas de la categoría	2020	50,75
De 35 a 44 años	Total	Solo España	Porcentaje sobre personas de la categoría	2019	46,42
De 35 a 44 años	Total	Solo España	Porcentaje sobre personas de la categoría	2018	48,06
De 35 a 44 años	Total	Solo España	Porcentaje sobre personas de la categoría	2017	48,6
De 35 a 44 años	Total	Solo España	Porcentaje sobre personas de la categoría	2016	50,26
De 35 a 44 años	Total	Solo España	Porcentaje sobre personas de la categoría	2015	48,09
De 35 a 44 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2022	26,64
De 35 a 44 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2021	16,43
De 35 a 44 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2020	14,17
De 35 a 44 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2019	12,27
De 35 a 44 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2018	13,5
De 35 a 44 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2017	14,32
De 35 a 44 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2016	15,06
De 35 a 44 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2015	15,28
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2022	4,83
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2021	2,87
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2020	4,64
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2019	6,71
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2018	7,26
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2017	7,04
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2016	6,26
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2015	6,14
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	2,57
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	0,91
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	1,29
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	1,77
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	2,04
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	2,07
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	1,87
De 35 a 44 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	1,95
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2022	15,54
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2021	6,67
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2020	16,06
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2019	24,01
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2018	22,22
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2017	18,7
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2016	17,29
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2015	16,91
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2022	8,26
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2021	2,12
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2020	4,48
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2019	6,35
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2018	6,24
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2017	5,51
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2016	5,18
De 35 a 44 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2015	5,37
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2022	57,83
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2021	44,88
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2020	58,33
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2019	62,81
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2018	58,79
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2017	60,49
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2016	56,9
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2015	54,92
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2022	30,73
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2021	14,27
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2020	16,29
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2019	16,61
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2018	16,52
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2017	17,82
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2016	17,05
De 35 a 44 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2015	17,45
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2022	41,44
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2021	38,07
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2020	41,67
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2019	37,53
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2018	36,38
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2017	40,69
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2016	39,7
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2015	38,1
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2022	22,02
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2021	12,11
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2020	11,64
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2019	9,92
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2018	10,22
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2017	11,99
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2016	11,89
De 35 a 44 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2015	12,11
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2022	..
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2021	..
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2020	1,87
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2019	2,53
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2018	2,43
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2017	1,83
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2016	1,33
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2015	1,93
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	..
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	0,52
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	0,67
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	0,68
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	0,54
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	0,4
De 35 a 44 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	0,61
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2022	14,6
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2021	5,89
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2020	14,79
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2019	22,75
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2018	19,97
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2017	17,96
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2016	15,87
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2015	14,89
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2022	7,76
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2021	1,87
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2020	4,13
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2019	6,01
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2018	5,61
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2017	5,29
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2016	4,75
De 35 a 44 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2015	4,73
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2022	52,65
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2021	44,44
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2020	53,97
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2019	60,56
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2018	60,67
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2017	57,46
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2016	57,2
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2015	55,15
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2022	27,98
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2021	14,13
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2020	15,07
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2019	16,01
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2018	17,05
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2017	16,93
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2016	17,14
De 35 a 44 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2015	17,52
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2022	34,39
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2021	36,1
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2020	35,17
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2019	32,17
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2018	33,58
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2017	33,78
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2016	35,26
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2015	33,59
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2022	18,27
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2021	11,48
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2020	9,82
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2019	8,51
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2018	9,44
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2017	9,95
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2016	10,56
De 35 a 44 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2015	10,67
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2022	4
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2021	2,22
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2020	3,76
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2019	5,65
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2018	6
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2017	6,4
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2016	5,37
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2015	5,47
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	2,12
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	0,71
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	1,05
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	1,49
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	1,69
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	1,89
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	1,61
De 35 a 44 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	1,74
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2022	14,27
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2021	6,12
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2020	15,05
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2019	22,75
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2018	21,09
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2017	17,28
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2016	16,57
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2015	16,09
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2022	7,58
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2021	1,95
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2020	4,2
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2019	6,01
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2018	5,93
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2017	5,09
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2016	4,96
De 35 a 44 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2015	5,11
De 45 a 54 años	Total	Total	Porcentaje sobre personas de la categoría	2023	""
De 45 a 54 años	Total	Total	Porcentaje sobre personas de la categoría	2022	67,72
De 45 a 54 años	Total	Total	Porcentaje sobre personas de la categoría	2021	57,45
De 45 a 54 años	Total	Total	Porcentaje sobre personas de la categoría	2020	67,19
De 45 a 54 años	Total	Total	Porcentaje sobre personas de la categoría	2019	71,53
De 45 a 54 años	Total	Total	Porcentaje sobre personas de la categoría	2018	69,6
De 45 a 54 años	Total	Total	Porcentaje sobre personas de la categoría	2017	66,3
De 45 a 54 años	Total	Total	Porcentaje sobre personas de la categoría	2016	68,09
De 45 a 54 años	Total	Total	Porcentaje sobre personas de la categoría	2015	62,96
De 45 a 54 años	Total	Total	Porcentaje sobre el total de viajeros 	2023	""
De 45 a 54 años	Total	Total	Porcentaje sobre el total de viajeros 	2022	23,9
De 45 a 54 años	Total	Total	Porcentaje sobre el total de viajeros 	2021	20,17
De 45 a 54 años	Total	Total	Porcentaje sobre el total de viajeros 	2020	19,82
De 45 a 54 años	Total	Total	Porcentaje sobre el total de viajeros 	2019	19,3
De 45 a 54 años	Total	Total	Porcentaje sobre el total de viajeros 	2018	19,36
De 45 a 54 años	Total	Total	Porcentaje sobre el total de viajeros 	2017	18,78
De 45 a 54 años	Total	Total	Porcentaje sobre el total de viajeros 	2016	19,09
De 45 a 54 años	Total	Total	Porcentaje sobre el total de viajeros 	2015	18,27
De 45 a 54 años	Total	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 45 a 54 años	Total	Solo España	Porcentaje sobre personas de la categoría	2022	48,58
De 45 a 54 años	Total	Solo España	Porcentaje sobre personas de la categoría	2021	48,86
De 45 a 54 años	Total	Solo España	Porcentaje sobre personas de la categoría	2020	46,66
De 45 a 54 años	Total	Solo España	Porcentaje sobre personas de la categoría	2019	43,97
De 45 a 54 años	Total	Solo España	Porcentaje sobre personas de la categoría	2018	43,4
De 45 a 54 años	Total	Solo España	Porcentaje sobre personas de la categoría	2017	43,89
De 45 a 54 años	Total	Solo España	Porcentaje sobre personas de la categoría	2016	46,66
De 45 a 54 años	Total	Solo España	Porcentaje sobre personas de la categoría	2015	43,43
De 45 a 54 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 45 a 54 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2022	17,15
De 45 a 54 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2021	17,15
De 45 a 54 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2020	13,77
De 45 a 54 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2019	11,86
De 45 a 54 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2018	12,07
De 45 a 54 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2017	12,44
De 45 a 54 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2016	13,08
De 45 a 54 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2015	12,6
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2022	4,64
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2021	3,14
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2020	4,81
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2019	6,66
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2018	6,73
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2017	5,62
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2016	5,44
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2015	4,88
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	1,64
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	1,1
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	1,42
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	1,8
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	1,87
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	1,59
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	1,53
De 45 a 54 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	1,42
